,citations.OutFilm,citations.OutFilm_Year,citationsIndex.OutIndex,citations.InFilm,citations.InFilm_Year,citationsIndex.InIndex
821,American Grindhouse 2010,2010,1,The Giant Claw 1957,1957,1437
822,American Grindhouse 2010,2010,1,Untamed Youth 1957,1957,1438
823,American Grindhouse 2010,2010,1,Zombies of Mora Tau 1957,1957,1439
848,American Grindhouse 2010,2010,1,Dragstrip Riot 1958,1958,1455
849,American Grindhouse 2010,2010,1,High School Confidential! 1958,1958,1456
850,American Grindhouse 2010,2010,1,High School Hellcats 1958,1958,1457
851,American Grindhouse 2010,2010,1,How to Make a Monster 1958,1958,1458
852,American Grindhouse 2010,2010,1,Monster on the Campus 1958,1958,1459
853,American Grindhouse 2010,2010,1,Queen of Outer Space 1958,1958,1460
854,American Grindhouse 2010,2010,1,Teenage Cave Man 1958,1958,1461
855,American Grindhouse 2010,2010,1,The Blob 1958,1958,1454
856,American Grindhouse 2010,2010,1,The Cool and the Crazy 1958,1958,1462
895,American Grindhouse 2010,2010,1,House on Haunted Hill 1959,1959,1478
896,American Grindhouse 2010,2010,1,Return of the Fly 1959,1959,1479
897,American Grindhouse 2010,2010,1,The Alligator People 1959,1959,1480
898,American Grindhouse 2010,2010,1,The Giant Gila Monster 1959,1959,1481
899,American Grindhouse 2010,2010,1,The Immoral Mr. Teas 1959,1959,1482
900,American Grindhouse 2010,2010,1,The Naked Venus 1959,1959,1483
901,American Grindhouse 2010,2010,1,The Tingler 1959,1959,1484
902,American Grindhouse 2010,2010,1,The Wasp Woman 1959,1959,1485
936,American Grindhouse 2010,2010,1,High School Caesar 1960,1960,1502
937,American Grindhouse 2010,2010,1,Not Tonight Henry 1960,1960,1503
938,American Grindhouse 2010,2010,1,Psycho 1960,1960,1501
976,American Grindhouse 2010,2010,1,Diary of a Nudist 1961,1961,1519
977,American Grindhouse 2010,2010,1,The Adventures of Lucky Pierre 1961,1961,1520
1004,American Grindhouse 2010,2010,1,Blaze Starr Goes Nudist 1962,1962,1537
1005,American Grindhouse 2010,2010,1,House on Bare Mountain 1962,1962,1538
1006,American Grindhouse 2010,2010,1,The Bellboy and the Playgirls 1962,1962,1539
1007,American Grindhouse 2010,2010,1,The Intruder 1962,1962,1540
1008,American Grindhouse 2010,2010,1,Tonight for Sure 1962,1962,1541
1030,American Grindhouse 2010,2010,1,Beach Party 1963,1963,1556
