,citations.OutFilm,citations.OutFilm_Year,citationsIndex.OutIndex,citations.InFilm,citations.InFilm_Year,citationsIndex.InIndex
1041,Inglourious Basterds 2009,2009,14,The Great Escape 1963,1963,1566
1096,Inglourious Basterds 2009,2009,14,Paris - When It Sizzles 1964,1964,1601
1142,Inglourious Basterds 2009,2009,14,Ride in the Whirlwind 1965,1965,1626
1211,Inglourious Basterds 2009,2009,14,Devil's Angels 1967,1967,1672
1266,Inglourious Basterds 2009,2009,14,The Devil's Brigade 1968,1968,1704
1267,Inglourious Basterds 2009,2009,14,The Mercenaries 1968,1968,1705
1337,Inglourious Basterds 2009,2009,14,The Wild Bunch 1969,1969,1732
1484,Inglourious Basterds 2009,2009,14,Slaughter 1972,1972,1798
1485,Inglourious Basterds 2009,2009,14,The Last House on the Left 1972,1972,1801
1486,Inglourious Basterds 2009,2009,14,The Life and Times of Judge Roy Bean 1972,1972,1814
1556,Inglourious Basterds 2009,2009,14,White Lightning 1973,1973,1844
1993,Inglourious Basterds 2009,2009,14,Zulu Dawn 1979,1979,1994
2237,Inglourious Basterds 2009,2009,14,Cat People 1982,1982,2070
2238,Inglourious Basterds 2009,2009,14,The Entity 1982,1982,2071
2344,Inglourious Basterds 2009,2009,14,Scarface 1983,1983,2093
2548,Inglourious Basterds 2009,2009,14,The Breakfast Club 1985,1985,2164
2748,Inglourious Basterds 2009,2009,14,Hamburger Hill 1987,1987,2251
3579,Inglourious Basterds 2009,2009,14,Fight Club 1999,1999,2641
4264,Inglourious Basterds 2009,2009,14,Death Proof 2007,2007,3002
46,The Kid 2009,2009,15,The Kid 1921,1921,1037
65,The Kid 2009,2009,15,The Gold Rush 1925,1925,1053
47,Brief Interviews with Hideous Men 2009,2009,16,Nanook of the North 1922,1922,1038
752,Brief Interviews with Hideous Men 2009,2009,16,The Night of the Hunter 1955,1955,1405
51,The Princess and the Frog 2009,2009,17,Cinderella 1922,1922,1042
280,The Princess and the Frog 2009,2009,17,Snow White and the Seven Dwarfs 1937,1937,1164
627,The Princess and the Frog 2009,2009,17,Cinderella 1950,1950,1324
652,The Princess and the Frog 2009,2009,17,A Streetcar Named Desire 1951,1951,1343
775,The Princess and the Frog 2009,2009,17,Lady and the Tramp 1955,1955,1404
884,The Princess and the Frog 2009,2009,17,Cat on a Hot Tin Roof 1958,1958,1474
929,The Princess and the Frog 2009,2009,17,Sleeping Beauty 1959,1959,1488
1062,The Princess and the Frog 2009,2009,17,The Sword in the Stone 1963,1963,1577
1226,The Princess and the Frog 2009,2009,17,The Jungle Book 1967,1967,1676
1382,The Princess and the Frog 2009,2009,17,The AristoCats 1970,1970,1758
1886,The Princess and the Frog 2009,2009,17,The Rescuers 1977,1977,1959
2957,The Princess and the Frog 2009,2009,17,The Little Mermaid 1989,1989,2336
3076,The Princess and the Frog 2009,2009,17,Beauty and the Beast 1991,1991,2399
3129,The Princess and the Frog 2009,2009,17,Aladdin 1992,1992,2425
3269,The Princess and the Frog 2009,2009,17,The Lion King 1994,1994,2488
3406,The Princess and the Frog 2009,2009,17,Mission: Impossible 1996,1996,2555
3471,The Princess and the Frog 2009,2009,17,Anastasia 1997,1997,2593
3472,The Princess and the Frog 2009,2009,17,Hercules 1997,1997,2588
55,(500) Days of Summer 2009,2009,18,He Who Gets Slapped 1924,1924,1046
255,(500) Days of Summer 2009,2009,18,Modern Times 1936,1936,1150
527,(500) Days of Summer 2009,2009,18,Song of the South 1946,1946,1268
1184,(500) Days of Summer 2009,2009,18,The Graduate 1967,1967,1655
1359,(500) Days of Summer 2009,2009,18,Patton 1970,1970,1740
1767,(500) Days of Summer 2009,2009,18,Star Wars 1977,1977,1939
2515,(500) Days of Summer 2009,2009,18,Porky's Revenge 1985,1985,2151
2607,(500) Days of Summer 2009,2009,18,Ferris Bueller's Day Off 1986,1986,2185
2692,(500) Days of Summer 2009,2009,18,Dirty Dancing 1987,1987,2227
2967,(500) Days of Summer 2009,2009,18,Henry & June 1990,1990,2364
3416,(500) Days of Summer 2009,2009,18,As Good as It Gets 1997,1997,2572
3544,(500) Days of Summer 2009,2009,18,But I'm a Cheerleader 1999,1999,2634
3635,(500) Days of Summer 2009,2009,18,High Fidelity 2000,2000,2667
3636,(500) Days of Summer 2009,2009,18,Requiem for a Dream 2000,2000,2668
3842,(500) Days of Summer 2009,2009,18,Bruce Almighty 2003,2003,2775
4017,(500) Days of Summer 2009,2009,18,Rent 2005,2005,2870
4217,(500) Days of Summer 2009,2009,18,King of California 2007,2007,2996
4218,(500) Days of Summer 2009,2009,18,Superbad 2007,2007,2997
4219,(500) Days of Summer 2009,2009,18,The Assassination of Jesse James by the Coward Robert Ford 2007,2007,2998
59,Ghost Bird 2009,2009,19,The Lost World 1925,1925,1050
429,Ghost Bird 2009,2009,19,Pantry Panic 1941,1941,1212
64,The Haunting in Connecticut 2009,2009,20,The Freshman 1925,1925,1055
883,The Haunting in Connecticut 2009,2009,20,Auntie Mame 1958,1958,1473
1060,The Haunting in Connecticut 2009,2009,20,The Birds 1963,1963,1568
2112,The Haunting in Connecticut 2009,2009,20,The Shining 1980,1980,2010
66,The Muppets 2011,2011,21,The Gold Rush 1925,1925,1053
2190,The Muppets 2011,2011,21,Raiders of the Lost Ark 1981,1981,2036
2376,The Muppets 2011,2011,21,Scarface 1983,1983,2093
2500,The Muppets 2011,2011,21,The Muppets Take Manhattan 1984,1984,2149
2794,The Muppets 2011,2011,21,Dirty Dancing 1987,1987,2227
2884,The Muppets 2011,2011,21,Big 1988,1988,2319
3616,The Muppets 2011,2011,21,Muppets from Space 1999,1999,2661
4205,The Muppets 2011,2011,21,The Devil Wears Prada 2006,2006,2959
68,Up 2009,2009,22,The Lost World 1925,1925,1050
212,Up 2009,2009,22,King Kong 1933,1933,1108
281,Up 2009,2009,22,Donald's Ostrich 1937,1937,1168
375,Up 2009,2009,22,The Wizard of Oz 1939,1939,1181
498,Up 2009,2009,22,Heaven Can Wait 1943,1943,1244
551,Up 2009,2009,22,It's a Wonderful Life 1946,1946,1269
1894,Up 2009,2009,22,Star Wars 1977,1977,1939
2803,Up 2009,2009,22,Red's Dream 1987,1987,2272
2961,Up 2009,2009,22,Knick Knack 1989,1989,2361
3198,Up 2009,2009,22,Jurassic Park 1993,1993,2448
73,You Dropped Your Quarter 2009,2009,23,The General 1926,1926,1058
75,Just Go with It 2011,2011,24,The Jazz Singer 1927,1927,1061
331,Just Go with It 2011,2011,24,The Wizard of Oz 1939,1939,1181
947,Just Go with It 2011,2011,24,Swiss Family Robinson 1960,1960,1508
1097,Just Go with It 2011,2011,24,Mary Poppins 1964,1964,1592
1098,Just Go with It 2011,2011,24,My Fair Lady 1964,1964,1602
1214,Just Go with It 2011,2011,24,Doctor Dolittle 1967,1967,1670
1415,Just Go with It 2011,2011,24,Willy Wonka & the Chocolate Factory 1971,1971,1775
1996,Just Go with It 2011,2011,24,10 1979,1979,1987
2441,Just Go with It 2011,2011,24,Children of the Corn 1984,1984,2136
2551,Just Go with It 2011,2011,24,Rocky IV 1985,1985,2160
2987,Just Go with It 2011,2011,24,Pretty Woman 1990,1990,2373
3104,Just Go with It 2011,2011,24,Reservoir Dogs 1992,1992,2423
3581,Just Go with It 2011,2011,24,Fight Club 1999,1999,2641
3806,Just Go with It 2011,2011,24,The Lord of the Rings: The Two Towers 2002,2002,2736
3964,Just Go with It 2011,2011,24,Saw 2004,2004,2818
4474,Just Go with It 2011,2011,24,Avatar 2009,2009,124
78,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?) 2010,2010,25,The Jazz Singer 1927,1927,1061
891,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?) 2010,2010,25,Damn Yankees! 1958,1958,1468
1311,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?) 2010,2010,25,Head 1968,1968,1716
1356,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?) 2010,2010,25,Midnight Cowboy 1969,1969,1719
1441,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?) 2010,2010,25,Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me? 1971,1971,1789
2128,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?) 2010,2010,25,Popeye 1980,1980,2033
3083,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?) 2010,2010,25,The Fisher King 1991,1991,2414
90,2001 Maniacs: Field of Screams 2010,2010,26,Abraham Lincoln 1930,1930,1074
297,2001 Maniacs: Field of Screams 2010,2010,26,Gone with the Wind 1939,1939,1180
529,2001 Maniacs: Field of Screams 2010,2010,26,Song of the South 1946,1946,1268
601,2001 Maniacs: Field of Screams 2010,2010,26,Sunset Blvd. 1950,1950,1318
1231,2001 Maniacs: Field of Screams 2010,2010,26,Planet of the Apes 1968,1968,1678
1711,2001 Maniacs: Field of Screams 2010,2010,26,Carrie 1976,1976,1919
2309,2001 Maniacs: Field of Screams 2010,2010,26,Flashdance 1983,1983,2089
2895,2001 Maniacs: Field of Screams 2010,2010,26,Field of Dreams 1989,1989,2325
3547,2001 Maniacs: Field of Screams 2010,2010,26,Detroit Rock City 1999,1999,2637
3843,2001 Maniacs: Field of Screams 2010,2010,26,Looney Tunes: Back in Action 2003,2003,2776
4018,2001 Maniacs: Field of Screams 2010,2010,26,Brokeback Mountain 2005,2005,2871
94,RiffTrax Live: Reefer Madness 2010,2010,27,Frozen Frolics 1930,1930,1077
194,RiffTrax Live: Reefer Madness 2010,2010,27,King Kong 1933,1933,1108
262,RiffTrax Live: Reefer Madness 2010,2010,27,Tell Your Children 1936,1936,1153
399,RiffTrax Live: Reefer Madness 2010,2010,27,The Grapes of Wrath 1940,1940,1199
441,RiffTrax Live: Reefer Madness 2010,2010,27,More Dangerous Than Dynamite 1941,1941,1216
442,RiffTrax Live: Reefer Madness 2010,2010,27,The Maltese Falcon 1941,1941,1208
540,RiffTrax Live: Reefer Madness 2010,2010,27,It's a Wonderful Life 1946,1946,1269
920,RiffTrax Live: Reefer Madness 2010,2010,27,House on Haunted Hill 1959,1959,1478
2363,RiffTrax Live: Reefer Madness 2010,2010,27,Scarface 1983,1983,2093
4400,RiffTrax Live: Reefer Madness 2010,2010,27,Indiana Jones and the Kingdom of the Crystal Skull 2008,2008,3083
95,The Book of Eli 2010,2010,28,Hell's Angels 1930,1930,1078
809,The Book of Eli 2010,2010,28,Baby Doll 1956,1956,1416
810,The Book of Eli 2010,2010,28,The Ten Commandments 1956,1956,1422
1625,The Book of Eli 2010,2010,28,The Texas Chain Saw Massacre 1974,1974,1863
1695,The Book of Eli 2010,2010,28,A Boy and His Dog 1975,1975,1917
2185,The Book of Eli 2010,2010,28,American Pop 1981,1981,2052
2278,The Book of Eli 2010,2010,28,Blade Runner 1982,1982,2065
4415,The Book of Eli 2010,2010,28,Johnny Cash at Folsom Prison 2008,2008,3131
96,The Boys: The Sherman Brothers' Story 2009,2009,29,The Big Pond 1930,1930,1079
277,The Boys: The Sherman Brothers' Story 2009,2009,29,Snow White and the Seven Dwarfs 1937,1937,1164
997,The Boys: The Sherman Brothers' Story 2009,2009,29,The Parent Trap 1961,1961,1532
1058,The Boys: The Sherman Brothers' Story 2009,2009,29,Summer Magic 1963,1963,1576
1059,The Boys: The Sherman Brothers' Story 2009,2009,29,The Sword in the Stone 1963,1963,1577
1108,The Boys: The Sherman Brothers' Story 2009,2009,29,Mary Poppins 1964,1964,1592
1148,The Boys: The Sherman Brothers' Story 2009,2009,29,That Darn Cat! 1965,1965,1629
1149,The Boys: The Sherman Brothers' Story 2009,2009,29,The Monkey's Uncle 1965,1965,1630
1182,The Boys: The Sherman Brothers' Story 2009,2009,29,Winnie the Pooh and the Honey Tree 1966,1966,1654
1224,The Boys: The Sherman Brothers' Story 2009,2009,29,The Happiest Millionaire 1967,1967,1677
1225,The Boys: The Sherman Brothers' Story 2009,2009,29,The Jungle Book 1967,1967,1676
1295,The Boys: The Sherman Brothers' Story 2009,2009,29,Winnie the Pooh and the Blustery Day 1968,1968,1710
1381,The Boys: The Sherman Brothers' Story 2009,2009,29,The AristoCats 1970,1970,1758
1432,The Boys: The Sherman Brothers' Story 2009,2009,29,Bedknobs and Broomsticks 1971,1971,1786
1511,The Boys: The Sherman Brothers' Story 2009,2009,29,Snoopy Come Home 1972,1972,1819
1569,The Boys: The Sherman Brothers' Story 2009,2009,29,Charlotte's Web 1973,1973,1850
1570,The Boys: The Sherman Brothers' Story 2009,2009,29,Tom Sawyer 1973,1973,1851
1874,The Boys: The Sherman Brothers' Story 2009,2009,29,The Many Adventures of Winnie the Pooh 1977,1977,1957
2950,The Boys: The Sherman Brothers' Story 2009,2009,29,The Little Mermaid 1989,1989,2336
3261,The Boys: The Sherman Brothers' Story 2009,2009,29,Beverly Hills Cop III 1994,1994,2501
3262,The Boys: The Sherman Brothers' Story 2009,2009,29,The Lion King 1994,1994,2488
3340,The Boys: The Sherman Brothers' Story 2009,2009,29,Toy Story 1995,1995,2514
3679,The Boys: The Sherman Brothers' Story 2009,2009,29,The Tigger Movie 2000,2000,2697
97,The Missing Person 2009,2009,30,Hell's Angels 1930,1930,1078
497,The Missing Person 2009,2009,30,Victory Through Air Power 1943,1943,1243
1575,The Missing Person 2009,2009,30,Serpico 1973,1973,1829
99,Whatever Works 2009,2009,31,Animal Crackers 1930,1930,1081
380,Whatever Works 2009,2009,31,Gone with the Wind 1939,1939,1180
554,Whatever Works 2009,2009,31,It's a Wonderful Life 1946,1946,1269
890,Whatever Works 2009,2009,31,Touch of Evil 1958,1958,1472
1115,Whatever Works 2009,2009,31,My Fair Lady 1964,1964,1602
2965,Whatever Works 2009,2009,31,The Abyss 1989,1989,2345
3839,Whatever Works 2009,2009,31,Ted Bundy 2002,2002,2774
100,A School Story 2009,2009,32,The Public Enemy 1931,1931,1082
283,A School Story 2009,2009,32,Angels with Dirty Faces 1938,1938,1170
108,Apocrypha 2011,2011,33,Dracula 1931,1931,1084
1720,Apocrypha 2011,2011,33,Martin 1976,1976,1925
3090,Apocrypha 2011,2011,33,Buffy the Vampire Slayer 1992,1992,2421
3205,Apocrypha 2011,2011,33,Interview with the Vampire: The Vampire Chronicles 1994,1994,2483
109,Beastly 2011,2011,34,Frankenstein 1931,1931,1085
1082,Beastly 2011,2011,34,Mary Poppins 1964,1964,1592
110,Big River Man 2009,2009,35,Frankenstein 1931,1931,1085
1458,Big River Man 2009,2009,35,Deliverance 1972,1972,1803
2046,Big River Man 2009,2009,35,The Elephant Man 1980,1980,2013
111,Blob Town 2010,2010,36,Drcula 1931,1931,1089
175,Blob Town 2010,2010,36,King Kong 1933,1933,1108
706,Blob Town 2010,2010,36,Creature from the Black Lagoon 1954,1954,1377
859,Blob Town 2010,2010,36,The Blob 1958,1958,1454
1461,Blob Town 2010,2010,36,Beware! The Blob 1972,1972,1806
1916,Blob Town 2010,2010,36,Grease 1978,1978,1969
2818,Blob Town 2010,2010,36,The Blob 1988,1988,2284
112,Cars 2 2011,2011,37,Dracula 1931,1931,1084
3364,Cars 2 2011,2011,37,The Hunchback of Notre Dame 1996,1996,2553
3933,Cars 2 2011,2011,37,The Incredibles 2004,2004,2826
4235,Cars 2 2011,2011,37,Ratatouille 2007,2007,3013
113,Chillerama 2011,2011,38,Frankenstein 1931,1931,1085
307,Chillerama 2011,2011,38,Gone with the Wind 1939,1939,1180
419,Chillerama 2011,2011,38,Citizen Kane 1941,1941,1206
420,Chillerama 2011,2011,38,The Wolf Man 1941,1941,1209
707,Chillerama 2011,2011,38,On the Waterfront 1954,1954,1381
753,Chillerama 2011,2011,38,Rebel Without a Cause 1955,1955,1398
824,Chillerama 2011,2011,38,I Was a Teenage Werewolf 1957,1957,1433
860,Chillerama 2011,2011,38,The Blob 1958,1958,1454
1038,Chillerama 2011,2011,38,Beach Party 1963,1963,1556
1137,Chillerama 2011,2011,38,Beach Blanket Bingo 1965,1965,1610
1200,Chillerama 2011,2011,38,Cool Hand Luke 1967,1967,1656
1254,Chillerama 2011,2011,38,Rosemary's Baby 1968,1968,1698
1465,Chillerama 2011,2011,38,Pink Flamingos 1972,1972,1809
1538,Chillerama 2011,2011,38,The Exorcist 1973,1973,1835
1723,Chillerama 2011,2011,38,Carrie 1976,1976,1919
1790,Chillerama 2011,2011,38,Annie Hall 1977,1977,1952
1791,Chillerama 2011,2011,38,Star Wars 1977,1977,1939
1918,Chillerama 2011,2011,38,Dawn of the Dead 1978,1978,1962
1978,Chillerama 2011,2011,38,10 1979,1979,1987
2049,Chillerama 2011,2011,38,Midnight Madness 1980,1980,2015
2149,Chillerama 2011,2011,38,The Evil Dead 1981,1981,2041
2210,Chillerama 2011,2011,38,E.T. the Extra-Terrestrial 1982,1982,2061
2321,Chillerama 2011,2011,38,Scarface 1983,1983,2093
2407,Chillerama 2011,2011,38,Indiana Jones and the Temple of Doom 1984,1984,2128
2525,Chillerama 2011,2011,38,The Goonies 1985,1985,2159
2708,Chillerama 2011,2011,38,Dirty Dancing 1987,1987,2227
2709,Chillerama 2011,2011,38,Predator 1987,1987,2232
2710,Chillerama 2011,2011,38,RoboCop 1987,1987,2239
2711,Chillerama 2011,2011,38,Spaceballs 1987,1987,2240
2822,Chillerama 2011,2011,38,Die Hard 1988,1988,2276
2823,Chillerama 2011,2011,38,Heathers 1988,1988,2287
2907,Chillerama 2011,2011,38,Lethal Weapon 2 1989,1989,2326
3038,Chillerama 2011,2011,38,Terminator 2: Judgment Day 1991,1991,2397
3039,Chillerama 2011,2011,38,The Dark Backward 1991,1991,2398
3153,Chillerama 2011,2011,38,The Remains of the Day 1993,1993,2455
3154,Chillerama 2011,2011,38,True Romance 1993,1993,2456
3851,Chillerama 2011,2011,38,Jeepers Creepers II 2003,2003,2784
114,Christmas Eve '45 2011,2011,39,Dr. Jekyll and Mr. Hyde 1931,1931,1083
223,Christmas Eve '45 2011,2011,39,The Black Cat 1934,1934,1131
115,Contagion 2011,2011,40,Frankenstein 1931,1931,1085
179,Contagion 2011,2011,40,King Kong 1933,1933,1108
1660,Contagion 2011,2011,40,Jaws 1975,1975,1893
3291,Contagion 2011,2011,40,Outbreak 1995,1995,2515
4529,Contagion 2011,2011,40,Due Date 2010,2010,487
116,Drifter: Henry Lee Lucas 2009,2009,41,Frankenstein 1931,1931,1085
117,Hall Pass 2011,2011,42,Frankenstein 1931,1931,1085
1094,Hall Pass 2011,2011,42,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb 1964,1964,1596
1671,Hall Pass 2011,2011,42,One Flew Over the Cuckoo's Nest 1975,1975,1910
1926,Hall Pass 2011,2011,42,Grease 1978,1978,1969
3163,Hall Pass 2011,2011,42,The Joy Luck Club 1993,1993,2462
3653,Hall Pass 2011,2011,42,"Dude, Where's My Car? 2000",2000,2681
3716,Hall Pass 2011,2011,42,A Beautiful Mind 2001,2001,2718
3717,Hall Pass 2011,2011,42,Harry Potter and the Sorcerer's Stone 2001,2001,2703
3802,Hall Pass 2011,2011,42,Snow Dogs 2002,2002,2756
3956,Hall Pass 2011,2011,42,The Bourne Supremacy 2004,2004,2843
4256,Hall Pass 2011,2011,42,The Bucket List 2007,2007,3021
4538,Hall Pass 2011,2011,42,Alice in Wonderland 2010,2010,306
118,Halloween II 2009,2009,43,Frankenstein 1931,1931,1085
239,Halloween II 2009,2009,43,Bride of Frankenstein 1935,1935,1141
324,Halloween II 2009,2009,43,The Wizard of Oz 1939,1939,1181
430,Halloween II 2009,2009,43,The Wolf Man 1941,1941,1209
463,Halloween II 2009,2009,43,The Ghost of Frankenstein 1942,1942,1226
642,Halloween II 2009,2009,43,The Thing from Another World 1951,1951,1341
794,Halloween II 2009,2009,43,Forbidden Planet 1956,1956,1426
795,Halloween II 2009,2009,43,Invasion of the Body Snatchers 1956,1956,1425
1140,Halloween II 2009,2009,43,Cat Ballou 1965,1965,1625
1173,Halloween II 2009,2009,43,The Professionals 1966,1966,1648
1263,Halloween II 2009,2009,43,Night of the Living Dead 1968,1968,1679
1333,Halloween II 2009,2009,43,Paint Your Wagon 1969,1969,1730
1672,Halloween II 2009,2009,43,The Rocky Horror Picture Show 1975,1975,1905
2064,Halloween II 2009,2009,43,The Shining 1980,1980,2010
2538,Halloween II 2009,2009,43,Teen Wolf 1985,1985,2166
3439,Halloween II 2009,2009,43,Austin Powers: International Man of Mystery 1997,1997,2584
119,J. Edgar 2011,2011,44,The Public Enemy 1931,1931,1082
240,J. Edgar 2011,2011,44,'G' Men 1935,1935,1142
120,Julie & Julia 2009,2009,45,Frankenstein 1931,1931,1085
834,Julie & Julia 2009,2009,45,Attack of the Crab Monsters 1957,1957,1446
121,Love Ranch 2010,2010,46,Dracula 1931,1931,1084
122,Love Ranch 2010,2010,46,Frankenstein 1931,1931,1085
1374,Love Ranch 2010,2010,46,The Great White Hope 1970,1970,1753
123,Meet Monica Velour 2010,2010,47,Frankenstein 1931,1931,1085
1144,Meet Monica Velour 2010,2010,47,"Faster, Pussycat! Kill! Kill! 1965",1965,1612
1274,Meet Monica Velour 2010,2010,47,Night of the Living Dead 1968,1968,1679
1340,Meet Monica Velour 2010,2010,47,The Honeymoon Killers 1969,1969,1734
1829,Meet Monica Velour 2010,2010,47,Saturday Night Fever 1977,1977,1941
1999,Meet Monica Velour 2010,2010,47,Beneath the Valley of the Ultra-Vixens 1979,1979,1982
2756,Meet Monica Velour 2010,2010,47,The Monster Squad 1987,1987,2253
127,Phantasie 2009,2009,48,Dracula 1931,1931,1084
128,RiffTrax Live: Jack the Giant Killer 2011,2011,49,Monkey Business 1931,1931,1090
231,RiffTrax Live: Jack the Giant Killer 2011,2011,49,Mama's Little Pirate 1934,1934,1137
345,RiffTrax Live: Jack the Giant Killer 2011,2011,49,The Wizard of Oz 1939,1939,1181
439,RiffTrax Live: Jack the Giant Killer 2011,2011,49,More Dangerous Than Dynamite 1941,1941,1216
476,RiffTrax Live: Jack the Giant Killer 2011,2011,49,The Mouse of Tomorrow 1942,1942,1232
691,RiffTrax Live: Jack the Giant Killer 2011,2011,49,Peter Pan 1953,1953,1358
918,RiffTrax Live: Jack the Giant Killer 2011,2011,49,House on Haunted Hill 1959,1959,1478
1025,RiffTrax Live: Jack the Giant Killer 2011,2011,49,Jack the Giant Killer 1962,1962,1553
1217,RiffTrax Live: Jack the Giant Killer 2011,2011,49,Scrooge McDuck and Money 1967,1967,1674
1218,RiffTrax Live: Jack the Giant Killer 2011,2011,49,The Graduate 1967,1967,1655
1286,RiffTrax Live: Jack the Giant Killer 2011,2011,49,Planet of the Apes 1968,1968,1678
1857,RiffTrax Live: Jack the Giant Killer 2011,2011,49,Star Wars 1977,1977,1939
2092,RiffTrax Live: Jack the Giant Killer 2011,2011,49,The Shining 1980,1980,2010
2180,RiffTrax Live: Jack the Giant Killer 2011,2011,49,Raiders of the Lost Ark 1981,1981,2036
2362,RiffTrax Live: Jack the Giant Killer 2011,2011,49,Star Wars: Episode VI - Return of the Jedi 1983,1983,2100
2465,RiffTrax Live: Jack the Giant Killer 2011,2011,49,Purple Rain 1984,1984,2143
3176,RiffTrax Live: Jack the Giant Killer 2011,2011,49,Dazed and Confused 1993,1993,2464
3177,RiffTrax Live: Jack the Giant Killer 2011,2011,49,Leprechaun 1993,1993,2468
3251,RiffTrax Live: Jack the Giant Killer 2011,2011,49,The Lion King 1994,1994,2488
3331,RiffTrax Live: Jack the Giant Killer 2011,2011,49,Waterworld 1995,1995,2530
3459,RiffTrax Live: Jack the Giant Killer 2011,2011,49,Titanic 1997,1997,2576
3743,RiffTrax Live: Jack the Giant Killer 2011,2011,49,Harry Potter and the Sorcerer's Stone 2001,2001,2703
3891,RiffTrax Live: Jack the Giant Killer 2011,2011,49,Pirates of the Caribbean: The Curse of the Black Pearl 2003,2003,2777
4303,RiffTrax Live: Jack the Giant Killer 2011,2011,49,Alvin and the Chipmunks 2007,2007,3064
4484,RiffTrax Live: Jack the Giant Killer 2011,2011,49,The Twilight Saga: New Moon 2009,2009,3142
4549,RiffTrax Live: Jack the Giant Killer 2011,2011,49,Clash of the Titans 2010,2010,3160
4550,RiffTrax Live: Jack the Giant Killer 2011,2011,49,The Twilight Saga: Eclipse 2010,2010,3156
4619,RiffTrax Live: Jack the Giant Killer 2011,2011,49,Twilight 2008,2008/I,3179
129,RiffTrax Live: Plan 9 from Outer Space 2009,2009,50,Dracula 1931,1931,1084
130,RiffTrax Live: Plan 9 from Outer Space 2009,2009,50,Frankenstein 1931,1931,1085
346,RiffTrax Live: Plan 9 from Outer Space 2009,2009,50,The Wizard of Oz 1939,1939,1181
440,RiffTrax Live: Plan 9 from Outer Space 2009,2009,50,Citizen Kane 1941,1941,1206
919,RiffTrax Live: Plan 9 from Outer Space 2009,2009,50,Plan 9 from Outer Space 1959,1959,1486
1427,RiffTrax Live: Plan 9 from Outer Space 2009,2009,50,Willy Wonka & the Chocolate Factory 1971,1971,1775
2659,RiffTrax Live: Plan 9 from Outer Space 2009,2009,50,Howard the Duck 1986,1986,2192
2863,RiffTrax Live: Plan 9 from Outer Space 2009,2009,50,Caddyshack II 1988,1988,2309
3007,RiffTrax Live: Plan 9 from Outer Space 2009,2009,50,Home Alone 1990,1990,2385
3118,RiffTrax Live: Plan 9 from Outer Space 2009,2009,50,Home Alone 2: Lost in New York 1992,1992,2439
3252,RiffTrax Live: Plan 9 from Outer Space 2009,2009,50,Ed Wood 1994,1994,2493
3460,RiffTrax Live: Plan 9 from Outer Space 2009,2009,50,Home Alone 3 1997,1997,2589
3744,RiffTrax Live: Plan 9 from Outer Space 2009,2009,50,Zoolander 2001,2001,2717
4181,RiffTrax Live: Plan 9 from Outer Space 2009,2009,50,Snakes on a Plane 2006,2006,2977
131,Super 8 2011,2011,51,Dracula 1931,1931,1084
132,Super 8 2011,2011,51,Frankenstein 1931,1931,1085
200,Super 8 2011,2011,51,The Invisible Man 1933,1933,1117
732,Super 8 2011,2011,51,Creature from the Black Lagoon 1954,1954,1377
1290,Super 8 2011,2011,51,Night of the Living Dead 1968,1968,1679
1619,Super 8 2011,2011,51,Earthquake 1974,1974,1881
1620,Super 8 2011,2011,51,The Texas Chain Saw Massacre 1974,1974,1863
1864,Super 8 2011,2011,51,Star Wars 1977,1977,1939
1955,Super 8 2011,2011,51,Dawn of the Dead 1978,1978,1962
1956,Super 8 2011,2011,51,Halloween 1978,1978,1968
2269,Super 8 2011,2011,51,E.T. the Extra-Terrestrial 1982,1982,2061
133,Sutures 2009,2009,52,Frankenstein 1931,1931,1085
134,Take Me Home Tonight 2011,2011,53,Dracula 1931,1931,1084
201,Take Me Home Tonight 2011,2011,53,The Invisible Man 1933,1933,1117
402,Take Me Home Tonight 2011,2011,53,Pinocchio 1940,1940,1194
403,Take Me Home Tonight 2011,2011,53,The Invisible Woman 1940,1940,1201
444,Take Me Home Tonight 2011,2011,53,The Wolf Man 1941,1941,1209
584,Take Me Home Tonight 2011,2011,53,A Foreign Affair 1948,1948,1306
733,Take Me Home Tonight 2011,2011,53,Rear Window 1954,1954,1384
734,Take Me Home Tonight 2011,2011,53,Them! 1954,1954,1387
773,Take Me Home Tonight 2011,2011,53,It Came from Beneath the Sea 1955,1955,1397
808,Take Me Home Tonight 2011,2011,53,Invasion of the Body Snatchers 1956,1956,1425
880,Take Me Home Tonight 2011,2011,53,The Blob 1958,1958,1454
881,Take Me Home Tonight 2011,2011,53,Vertigo 1958,1958,1467
1349,Take Me Home Tonight 2011,2011,53,Midnight Cowboy 1969,1969,1719
1565,Take Me Home Tonight 2011,2011,53,American Graffiti 1973,1973,1842
1621,Take Me Home Tonight 2011,2011,53,Earthquake 1974,1974,1881
1693,Take Me Home Tonight 2011,2011,53,Jaws 1975,1975,1893
1752,Take Me Home Tonight 2011,2011,53,King Kong 1976,1976,1934
